,participantID,trialNum,stage,stageName,trueCondition,requestedTests,likelihoodChange,uniqueTests,pastTests,currentTests,possibleTest,proportionOfInfo,testNames,numOfDifferentials,confidence,correctDiagnosis,perceivedDifficulty,highestSeverity,hasHighSeverity,highestLikelihood,likelihoods,severities,sevOfHighestLikelihood,competingDifferentials,hasCompetingDifferentials,treatmentPlan,infoSeekingTime,remoteDifferentials,nonRemoteDifferentials,correct,brierConfidence,differentialAccuracy,correctDiagnosisIdx,likelihoodOfCorrectDiagnosis,sevOfCorrectDiagnosis,highestLikelihoodCorrect,highestLikelihoodCorrectValue
1,17wpsm,1,1,Patient History,GUILLAINBARRE SYNDROME,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Social History, Family History, Allergies",4,0,FALSE,9,3,TRUE,7,"7, 4, 2, 5","3, 0, 3, 1",3,2,FALSE,Not Provided,0.993733333,0,4,1,1,0.25,1,2,4,0,0
2,17wpsm,1,2,Physical Exmination,GUILLAINBARRE SYNDROME,9,0,8,1,7,13,0.538461538,"Neurologic Exam Record, Present Illness History, Assess Head, Measure Blood Pressure, Assess Extremities, Take Pulse, Measure Temperature, Assess Eyes",5,0,FALSE,9,3,TRUE,4,"2, 4, 2, 2, 4","3, 0, 3, 1, 2",0,0,FALSE,Not Provided,2.248416667,0,5,1,1,0.2,1,2,4,0,0
3,17wpsm,1,3,Testing,GUILLAINBARRE SYNDROME,6,0,6,0,6,10,0.6,"Venous Blood Gas, CRP and ESR, UREA and Electrolytes, Abdominal CT Scan, FBC, Other Biochemistry Tests",4,6,FALSE,9,3,TRUE,5,"2, 4, 4, 5","3, 0, 2, 1",1,1,FALSE,Not Provided,4.265233333,0,4,0,0.0036,-0.25,0,0,0,0,0
4,17wpsm,2,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Family History, Allergies, Medication, Social History",3,10,FALSE,6,2,FALSE,8,"8, 3, 4","1, 2, 1",1,1,FALSE,Not Provided,1.105366667,0,3,1,0.81,0.333333333,1,8,2,1,8
5,17wpsm,2,2,Physical Exmination,ULCERATIVE COLITIS,5,0,5,0,5,13,0.384615385,"Abdomen Examination, Rectal Examination, Measure Blood Pressure, Take Pulse, Measure Temperature",3,19,FALSE,6,2,FALSE,9,"9, 2, 4","1, 2, 1",1,1,FALSE,Not Provided,1.157333333,0,3,1,0.6561,0.333333333,1,9,2,1,9
6,17wpsm,2,3,Testing,ULCERATIVE COLITIS,5,0,5,0,5,10,0.5,"Abdominal CT Scan, UREA and Electrolytes, FBC, Venous Blood Gas, CRP and ESR",3,55,FALSE,6,2,FALSE,9,"2, 2, 9","1, 2, 1",1,1,FALSE,"IV fluids and electrolyte replacement
Consider empirical antibiotics - discuss with infectious diseases
Stool sample for culture",4.345516667,0,3,1,0.2025,0.333333333,1,2,2,0,0
7,17wpsm,3,1,Patient History,MILIARY TB,4,0,4,0,4,6,0.666666667,"Past Medical History, Present Illness History, Medication, Social History",2,0,FALSE,8,3,TRUE,5,"5, 3","3, 2",3,1,FALSE,Not Provided,1.119583333,0,2,0,0,-0.5,0,0,0,0,0
8,17wpsm,3,2,Physical Exmination,MILIARY TB,9,0,9,2,7,13,0.538461538,"Past Medical History, Present Illness History, Measure Temperature, Neck/Throat Examination, Take Pulse, Measure Blood Pressure, Abdomen Examination, Neurologic Exam Record, Assess Extremities",3,9,FALSE,8,3,TRUE,6,"5, 3, 6","3, 2, 2",2,2,FALSE,Not Provided,1.693183333,0,3,0,0.0081,-0.333333333,0,0,0,0,0
9,17wpsm,3,3,Testing,MILIARY TB,12,0,8,1,7,10,0.7,"Abdominal CT Scan, Other Biochemistry Tests, Chest X-Ray, Auscultate the Heart, FBC, Venous Blood Gas, UREA and Electrolytes, Urine Dipstick",4,5,FALSE,8,2,FALSE,4,"2, 2, 4, 3","2, 2, 1, 2",1,0,FALSE,Not Provided,6.3053,0,4,0,0.0025,-0.25,0,0,0,0,0
10,17wpsm,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Social History, Medication, Allergies, Family History",2,11,FALSE,10,2,FALSE,7,"7, 3","2, 2",2,1,FALSE,Not Provided,1.397733333,0,2,1,0.7921,0.5,1,3,3,0,0
11,17wpsm,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,7,0,7,13,0.538461538,"Assess Head, Neurologic Exam Record, Measure Temperature, Neck/Throat Examination, Take Pulse, Measure Blood Pressure, Assess Extremities",2,12,FALSE,10,2,FALSE,7,"7, 3","2, 2",2,1,FALSE,Not Provided,1.264766667,0,2,1,0.7744,0.5,1,3,3,0,0
