History,Physical Examinations,Testing
History of Presenting Complaint,Take Pulse,Urine Dipstick
Past Medical History,Measure Blood Pressure,ECG
Medications,Assess Respiratory Rate,Abdominal CT Scan
Allergies,Auscultate Lungs,Venous Blood Gas
Family History,Auscultate the Heart,CRP and ESR
Social History,Assess Eyes,Clotting Test
,Measure Temperature,FBC
,Abdomen Examination,Other Biochemistry tests
,Rectal Examination,UREA and Electrolytes
,Neck/Throat Examination,Chest X-Ray
,Assess Head,
,Neurological Exam Record,
,Assess Extremities,
